Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLAG,PFIRM15_FLAG,Version,price_sf
BK,1419,45,309,355,1002,17,35,11213,E234,71,32,5010,3,9,1B,400 UTICA AVENUE,R7-1,,,,C1-3,,,,,,N,O2,5,0,P,VIS BAN REALTY CORP,1458,2016,2016,0,2016,0,0,0,0,0,2,1,2,0,2,18,81,18,56,,3,N,5,0,16200,100800,0,0,1930,0,0,,,1.38,3.44,0,4.8,3,3014190045,0,355,1003165,181481,17b,,307 073,30507,,0,,1,,,17v1.1,50
BK,1737,47,303,1237,3007,13,33,11205,E230,79,36,1410,3,3,1A,117 SANDFORD STREET,M1-1,,,,,,,,,,N,G9,7,0,,117 SANFORD LLC,5400,5400,5400,0,0,0,2700,2700,0,0,2,1,1,0,1,54,100,54,98.42,,0,N,5,5,72900,270000,0,0,1931,0,0,,,1,0,1,2.4,3,3017370047,0,1237,997212,192647,13b,,303 055,30608,,0,,1,,,17v1.1,50
BK,2534,22,301,579,2025,14,33,11222,E238,94,30,300,3,1,1B,239 INDIA STREET,M3-1,,,,,,,,,,N,O2,5,0,P,INDIA STREET CORP.,12500,4500,4500,0,4500,0,0,0,0,0,2,1,2,0,1,37.33,200,25,100,,0,Y,4,5,140850,225000,0,84150,2003,2010,2010,,,0.36,0,2,0,3,3025340022,0,579,998025,206418,13a,,304 047,30901,,0,,1,,,17v1.1,50
BK,6819,83,315,556,1001,21,48,11229,E276,61,37,8710,3,15,1E,1819 EAST 13 STREET,R5B,,,,,,,,,,N,D7,4,0,,AMK II REALTY LLC,4000,20800,10000,10800,10000,0,0,0,0,0,2,1,6,8,9,40,100,40,50,,0,N,5,2,18215,1040000,0,274469,1920,0,0,,,5.2,1.35,0,2,3,3068190083,0,556,995581,159728,22d,,314 022,32010,,0,,1,,,17v1.1,50
BK,7029,35,313,336,2004,21,47,11224,E318,60,37,9010,3,13,2C,3740 OCEANIC AVENUE,R3-1,,,,,,,,,,N,M9,8,0,X,KOZNITZ CONGREGATION,3500,3105,2070,1035,0,0,0,0,0,2070,2,2,2,1,2,35,100,23,45,G,0,N,5,5,70650,155250,70650,155250,1938,0,0,,,0.89,0.6,0,1,3,3070290035,0,336,983000,148815,28b,,318 085,32104,,0,,1,,1,17v1.1,50
BK,7618,66,318,740,2001,22,45,11210,L159,63,35,8810,3,18,6D,1805 FLATBUSH AVENUE,R5,,,,C2-2,,,,,,N,K4,4,0,,"MERVEILLE, GLADYS",1294,3690,2460,1230,1230,1230,0,0,0,0,2,1,3,2,4,61.22,41.58,60,41,,2,Y,3,0,13050,184500,0,0,1931,0,0,,,2.85,1.25,0,2,3,3076180066,0,740,1000821,167402,23b,,315 009,32302,,0,,1,,,17v1.1,50
BK,869,1,307,149,4002,15,38,11215,L122,72,39,4700,3,7,1E,511 7 AVENUE,R5B,,,,,,,,,,N,W1,8,0,C,DCAS/DEPARTMENT OF ED,45000,75783,75783,0,0,0,0,0,0,75783,2,1,4,0,1,180.33,250,60,240,,1,N,3,2,634500,3789450,634500,3789450,1930,0,0,,,1.68,1.35,0,2,3,3008690001,0,149,988148,180065,16d,,306 043,30309,,0,,1,,,17v1.1,50.00395867
BK,2317,9,301,557,1001,14,33,11249,E221,94,30,400,3,1,2B,58 NORTH 8 STREET,M1-2/R6A,,,,,,MX-8,,,,N,O5,5,0,P,101 KENT ASSOCIATES I,1462,5849,5849,0,0,0,400,1189,0,4260,2,1,4,0,1,20.33,71.92,20.33,71.92,,2,N,3,2,28350,292500,0,0,1955,1996,0,,,4,3,2,3,3,3023170009,0,557,995051,201841,12c,,304 013,30804,,0,,1,,,17v1.1,50.00854847
BK,1885,7503,303,1237,2001,14,33,11205,L119,79,36,1410,1,3,,38 SKILLMAN STREET,M1-2/R6A,,,,,,MX-4,,,,N,R4,3,1,,,4000,24676,3810,20866,0,0,0,3810,0,0,2,2,5,20,20,0.09,0,0,0,,0,N,0,5,54000,1234188,0,1135316,2003,0,0,,,6.17,3,2,3,3,3018857503,1056,1237,995902,193427,12d,,303 052,30701,,0,,1,,,17v1.1,50.01572378
BK,6583,92,312,440,3001,21,44,11230,L153,66,35,7120,3,12,6E,1613 MC DONALD AVENUE,R5,,,,C2-3,,OP,,,,N,E1,6,0,,CB REALTY COMPANY LLC,2240,2600,2600,0,1000,0,0,0,1600,0,2,1,2,0,1,20,112,20,80,E,3,N,5,2,75600,130050,0,0,1925,0,0,,,1.16,1.25,0,2,3,3065830092,0,440,991605,162793,22d,,313 064,32002,,0,,1,,,17v1.1,50.01923077
