Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLAG,PFIRM15_FLAG,Version,price_sf
BX,2287,3,201,41,2001,7,8,10454,L017,40,23,4500,2,1,1A,362 WILLIS AVENUE,R6,,,,C1-4,,,,,,N,K4,4,0,P,"SANTIAGO, ANGELO",2000,3600,2000,1600,0,2000,0,0,0,0,2,1,3,2,3,20,100,20,40,E,0,N,5,1,11700,180000,0,67320,1931,2001,0,,,1.8,2.43,0,4.8,2,2022870003,0,41,1006240,235023,6a,,209S028,20901,,0,,1,,,17v1.1,50
BX,2460,25,204,183.01,1001,9,16,10451,E071,44,22,3320,2,4,1B,891 SHERIDAN AVENUE,C6-2,,,,,,,,,,N,G1,10,0,P,SHOSHANA L.L.C.,11502,22770,22770,0,0,2570,20200,0,0,0,2,1,2,0,4,114.48,99.97,114.33,99.75,,0,N,3,5,310500,1138500,0,0,1924,0,0,,,1.98,6.02,6,6.5,2,2024600025,0,18301,1006046,240505,3b,Y,210S025,20906,E-225,0,,1,,,17v1.1,50
BX,2762,20,202,115.02,2002,8,17,10474,E094,41,23,4300,2,2,1A,823 FAILE STREET,R6,,,,,,,,,,N,M1,8,0,P,HOUSE OF GOD PENTECOS,7500,6075,6075,0,0,0,0,0,0,6075,2,3,3,0,1,75,100,27,75,,0,N,5,5,53100,303750,53100,303750,1930,0,0,,,0.81,2.43,0,4.8,2,2027620020,0,11502,1015368,237142,6c,,216 057,21007,,0,,1,,,17v1.1,50
BX,3933,40,209,222,3000,11,18,10462,E064,43,26,1310,2,9,3E,1402 UNIONPORT ROAD,R6,,,,C1-2,,,,,,N,K1,5,0,,DEGREGORIA ENTERPRISE,5210,5210,5210,0,0,5210,0,0,0,0,2,1,1,0,4,124,89,115,62,,0,Y,3,5,129150,260550,0,0,1951,2003,0,,,1,2.43,0,4.8,2,2039330040,0,222,1024601,243487,4b,,219 032,21503,,0,,1,,,17v1.1,50.00959693
BX,5399,5,210,264,1005,8,13,10461,L050,45,26,1420,2,10,3E,1512 CROSBY AVENUE,R4A,,,,,,,,,,N,C3,2,0,,"1512 CROSBY, LLC",5000,2100,0,2100,0,0,0,0,0,0,2,2,2,4,4,50,100,21,50,EG,0,N,5,5,36282,105028,0,0,1931,0,0,,,0.42,0.9,0,2,2,2053990005,0,264,1031335,246316,4b,,221 007,21802,,0,,1,,,17v1.1,50.01333333
BX,3279,23,207,407.02,2003,10,15,10458,E079,52,21,420,2,7,2B,2775 WEBSTER AVENUE,R7D,,,,C2-4,,,,,,N,K4,4,0,,S.A.H. REALTY COMPANY,4219,8439,8439,0,0,7439,0,1000,0,0,2,1,2,0,6,48.08,87.75,48.08,87.75,,2,N,3,0,45000,422100,0,0,1939,0,0,,,2,4.2,0,4.2,2,2032790023,0,40702,1015797,254890,3c,,214 060,21202,,0,,1,,,17v1.1,50.01777462
BX,4881,1,212,462.02,2007,11,12,10469,L061,47,24,710,2,12,3E,1449 EAST 222 STREET,M1-1,R4,,,,,,,,,Y,F5,6,0,P,1449 EAST 222ND VENTU,20320,6000,6000,0,0,0,0,0,6000,0,2,2,1,0,1,101.75,127.5,59,53,E,0,Y,5,5,137250,300150,0,0,1955,0,0,,,0.3,0,1,2.4,2,2048810001,0,46202,1029028,258946,2b,,222 065,21702,,0,,1,,,17v1.1,50.025
BX,4002,48,210,200,1002,11,13,10461,L050,45,26,1320,2,10,1E,2630 EAST TREMONT AVENUE,R6,,,,C2-4,,,,,,N,K1,5,0,P,CARMELA REALTY CORP,4938,4443,4443,0,0,4443,0,0,0,0,2,1,1,0,3,45.17,111.92,45.17,111.92,,0,N,5,5,122400,222300,0,0,1910,1987,0,,,0.9,2.43,0,4.8,2,2040020048,0,200,1026766,246315,4b,,219 021,21504,,0,,1,,,17v1.1,50.03376097
BX,2690,134,202,129.01,1007,12,17,10459,L031,41,22,3600,2,2,1B,866 EAST 165 STREET,R7-1,,,,,,,,,,N,D7,4,0,P,"TWIN PINES, LLC",7930,28699,4500,24199,4500,0,0,0,0,0,2,1,5,28,30,73.71,91,72,91,,2,Y,3,2,151200,1435950,148281,1433031,2007,2016,0,,,3.62,3.44,0,4.8,2,2026900134,0,12901,1012165,239382,6c,,216 035,21005,,2026900131,9/17/2009,1,,,17v1.1,50.03484442
BX,2509,1,204,193,1001,9,8,10452,E068,44,23,3310,2,4,2A,1060 WOODYCREST AVENUE,R7-1,,,,,,,,,,N,K1,5,0,,FOUR BROTHERS PROPERT,2515,2500,2500,0,0,2500,0,0,0,0,2,1,1,0,3,25,100.58,25,100.58,,1,N,3,0,19800,125100,0,0,1927,1997,2006,,,0.99,3.44,0,4.8,2,2025090001,0,193,1004545,243109,3b,,210S041,20908,,0,,1,,,17v1.1,50.04
