Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_Flag,PFIRM15_Flag,Version,price_sf
MN,866,9,105,82,2001,2,4,10016,E065,14,15,5200,1,5,2B,9 EAST 36 STREET,C5-2,,,,,,,,,,N,D7,4,0,P,9 EAST 36TH LLC,3061,13290,2000,11290,0,2000,0,0,0,0,2,1,5,16,17,31,98.75,31,84,,3,N,5,1,204750,1287450,0,0,1925,1985,0,,,4.34,10,10,10,1,1008660009,0,82,989028,212376,8d,,104 029,10306,,0,,1,,,17v1.1,96.87358916
MN,464,1,103,38,1000,1,2,10003,E033,9,14,6500,1,3,4B,23 3 AVENUE,C6-1,,,,,,,,,,N,S9,4,0,P,GABAY & AMERI II LLC,2200,3980,1900,2080,0,1900,0,0,0,0,2,1,3.5,2,10,30,74,30,74,,3,N,3,2,159348,385573,0,0,1940,1966,0,,,1.81,3.44,6,6.5,1,1004640001,0,38,987141,205064,12c,,102 018,10205,,0,,1,,,17v1.1,96.87763819
MN,1610,59,111,168,3001,4,8,10029,E053,23,12,2810,1,11,1A,26 EAST 105 STREET,R7-2,,,,C2-5,,,,,,N,C1,2,0,P,16-26 EAST 105 LLC,3784,15347,0,15347,0,0,0,0,0,0,2,1,6,24,24,37.5,100.92,37,88,,3,N,5,2,233100,1486800,0,1136060,1920,1988,1998,,,4.06,3.44,0,6.5,1,1016100059,0,168,997944,228160,6b,,108N049,10602,,0,,1,,,17v1.1,96.87886883
MN,1125,61,107,157,2001,3,6,10023,L025,20,15,4000,1,7,2A,46 WEST 73 STREET,C1-8A,,,,,,,,,,N,D6,4,0,,"PARTNERSHIP 92 WEST,L",5108,22788,4675,18113,0,4675,0,0,0,0,2,1,6,34,36,50,102,50,86,,3,N,5,2,804600,2207700,0,0,1925,1984,0,Upper West Side/Central Park West Histor,,4.46,7.52,2,7.5,1,1011250061,0,157,990332,222628,8c,,107S007,10406,,0,,1,,,17v1.1,96.87993681
MN,1631,62,111,166,5001,4,8,10029,E053,23,12,2810,1,11,1A,126 EAST 104 STREET,R7-2,,,,,,,,,,N,D1,3,0,X,GOOD NEIGHBOR APARTME,4037,17000,0,17000,0,0,0,0,0,0,2,1,6,24,24,40,100.92,40,88,,3,N,5,2,163350,1647000,163350,1647000,1915,1972,0,,,4.21,3.44,0,6.5,1,1016310062,0,166,998663,227462,6b,,108N051,10603,,0,,1,,,17v1.1,96.88235294
MN,834,35,105,76,1004,2,4,10001,L024,14,15,5200,1,5,1A,9 WEST 32 STREET,C6-4,,,,,,,,,,N,C5,2,0,P,BEAUTRI REALTY CORP,2469,10000,4900,5100,0,4900,0,0,0,0,2,1,5,12,14,25,98.75,25,95,E,3,N,5,2,292500,968850,0,0,1925,1988,0,,,4.05,10,10,10,1,1008340035,0,76,988097,211667,8d,,104 016,10306,,0,,1,,,17v1.1,96.885
MN,795,12,104,87,1002,2,3,10011,L012,13,15,5600,1,4,1A,151 WEST 19 STREET,C6-3A,,,,,,,,,,N,L1,6,0,P,DEZER PROPERTIES 151,4146,48784,48784,0,48784,0,0,0,0,0,2,1,12,0,16,46.58,90,47,90,E,3,Y,5,2,1377000,4726800,0,0,1912,1984,0,,,11.77,7.52,6,7.5,1,1007950012,0,87,985229,209410,8d,,103 030,10305,,0,,1,,,17v1.1,96.89242375
MN,1610,60,111,168,3001,4,8,10029,E053,23,12,2810,1,11,1A,22 EAST 105 STREET,R7-2,,,,,,,,,,N,C1,2,0,P,16-26 EAST 105 LLC,3784,15349,0,15349,0,0,0,0,0,0,2,1,6,24,24,37.5,100.92,37,88,,3,N,5,2,233100,1487250,0,991878,1910,1998,0,,,4.06,3.44,0,6.5,1,1016100060,0,168,997911,228178,6b,,108N049,10602,,0,,1,,,17v1.1,96.89556323
MN,1397,32,108,114.02,1000,2,4,10065,E039,19,13,4800,1,8,1A,171 EAST 62 STREET,R8B,,,,,,,,,,N,A4,1,0,,VON RABENTURN HOLDING,2495,5194,0,5194,0,0,0,0,0,0,2,1,5,1,1,24.5,102.42,25,64,E,2,Y,5,2,106267,503280,0,0,1920,2005,0,,,2.08,4,0,4,1,1013970032,0,11402,993783,217565,8c,,1.06E+48,10509,,0,,1,,,17v1.1,96.89641894
MN,866,1,105,82,2001,2,4,10016,E065,14,15,5200,1,5,2B,389 5 AVENUE,C5-3,C5-2,,,,,MID,,,,Y,O6,5,0,P,389 ASSOCIATES,9975,122686,122686,0,105704,16982,0,0,0,0,2,1,12,0,38,38.75,169,39,169,,3,Y,3,2,4500000,11888550,0,0,1930,1986,0,,,12.3,10,15,15,1,1008660001,0,82,988989,212397,8d,,104 029,10306,,0,,1,,,17v1.1,96.90225454
